pitch_type,batted_ball_type,hit_x,hit_y,exit_velocity,launch_angle,outcome
FF,fly_ball,-45.900000000000006,138.45000000000002,97.8,23,field_out
FF,ground_ball,-3.3100000000000023,45.68000000000001,79.8,-25,grounded_into_double_play
FF,fly_ball,41.760000000000005,160.06,100.5,23,home_run
SI,ground_ball,-20.760000000000005,33.56,75.9,-8,field_out
CH,line_drive,29.489999999999995,116.78000000000002,106.1,9,double
FF,ground_ball,-24.120000000000005,23.49000000000001,60.8,-26,field_out
FF,ground_ball,29.13000000000001,32.49000000000001,87.8,-27,field_out
FF,fly_ball,-12.570000000000007,109.07000000000001,84.2,48,field_out
FF,line_drive,-13.650000000000006,131.4,88.1,24,field_out
FF,ground_ball,20.510000000000005,39.59,82.9,-21,field_out
FC,popup,-20.33,19.03,45.2,66,field_out
FT,ground_ball,-7.3700000000000045,36.55000000000001,90.3,-17,single
CU,ground_ball,26.89,21.78,62.8,-41,field_out
FT,ground_ball,-15.480000000000004,20.830000000000013,34,-26,single
FF,ground_ball,-12.189999999999998,49.73000000000002,108.5,-1,field_out
FF,ground_ball,-14.210000000000008,50.24000000000001,102.4,-18,field_out
FC,ground_ball,-10.920000000000002,25.900000000000006,43.3,5,field_out
CH,fly_ball,24.570000000000007,120.20000000000002,97.5,51,field_out
CH,ground_ball,31.16000000000001,25.900000000000006,87.5,-8,field_out
FF,ground_ball,-45.59,60.28,79.7,8,single
FF,ground_ball,18.480000000000004,44.66,69.5,6,grounded_into_double_play
SL,fly_ball,-52.19,119.55000000000001,95.4,46,field_out
FF,ground_ball,-5.560000000000002,24.620000000000005,84.6,-40,force_out
FF,ground_ball,5.339999999999989,18.57000000000002,81.4,-6,field_out
FC,fly_ball,-5.200000000000003,134.65,98,44,field_out
CH,fly_ball,56.790000000000006,105.83000000000001,98.5,49,field_out
SI,ground_ball,18.940000000000012,50.110000000000014,96.3,-9,single
CH,fly_ball,-36.650000000000006,170.59,107.1,23,home_run
SL,ground_ball,8.779999999999987,12.52000000000001,82.9,-21,field_out
SI,ground_ball,-47.370000000000005,95.49000000000001,100.9,5,single
SI,ground_ball,21.679999999999993,122.14000000000001,98.7,4,single
SI,ground_ball,-0.730000000000004,33.10000000000002,90.3,-17,single
SL,fly_ball,108.86,145,110.4,22,home_run
FF,fly_ball,-43.540000000000006,167.96,103.4,28,home_run
FF,fly_ball,30.219999999999985,174.22,109.7,35,home_run
FC,fly_ball,12.079999999999998,172.82000000000002,106.7,32,home_run
FF,ground_ball,4.719999999999985,15.570000000000022,89,-20,field_out
FF,fly_ball,-82.15,110.05000000000001,94.4,24,field_out
SL,line_drive,26.89999999999999,117.13000000000001,111.1,12,triple
SL,ground_ball,-15.100000000000009,21.670000000000016,71.2,-40,force_out
KC,ground_ball,23.299999999999997,50.43000000000001,99.5,-17,field_out
FF,line_drive,-89.77000000000001,89.73,105.1,6,double
SI,ground_ball,2.6799999999999926,54.68000000000001,82.9,-21,force_out
FF,fly_ball,-53.19,68.4,89.5,60,field_out
SL,ground_ball,-19.67,30.810000000000002,58.4,6,grounded_into_double_play
FC,fly_ball,45.89,180.3,109.5,22,home_run
FF,line_drive,-6.320000000000007,83.58000000000001,90.1,9,single
CU,line_drive,43.55,143.94,108.5,19,double
CH,popup,-44.5,55.57000000000002,67.8,51,field_out
FF,ground_ball,-17.620000000000005,47.03,98.6,-20,field_error
FF,ground_ball,21.749999999999986,25.230000000000018,92.9,-32,field_out
SL,line_drive,61.719999999999985,85.19000000000001,101.7,11,single
CH,line_drive,90.83,91.53000000000002,102.8,18,double
FF,fly_ball,-31.549999999999997,93.06000000000002,94.2,56,field_out
FT,ground_ball,36.209999999999994,48.59,96.9,-25,field_out
SL,popup,35.19000000000001,12.52000000000001,85.4,74,field_out
CH,ground_ball,7.779999999999987,15.320000000000022,63.8,-51,single
FT,line_drive,-30.680000000000007,124.94000000000001,108.7,15,double
FT,line_drive,-22.549999999999997,72.27000000000001,76.7,16,single
CU,ground_ball,1.1599999999999966,18.110000000000014,76.2,-61,field_out
CH,line_drive,32.230000000000004,127.93,110.9,15,triple
CH,fly_ball,107.74999999999999,115.47000000000001,100.2,27,home_run
SL,ground_ball,72.02,77.92000000000002,92.8,-13,double
CH,line_drive,-2.480000000000004,107.72000000000001,85.9,13,single
FF,line_drive,-57.91,100.33000000000001,87,23,field_out
CH,ground_ball,-2.4000000000000057,9.980000000000018,41,-39,field_out
FF,ground_ball,27.570000000000007,46.56,90.8,-5,field_out
FF,fly_ball,-55.75,76.17000000000002,73.6,49,field_out
SL,ground_ball,-26.510000000000005,32.95000000000002,69.8,10,fielders_choice_out
FT,fly_ball,-102.78,110.19000000000001,101.9,37,field_out
CH,ground_ball,-10.519999999999996,36.400000000000006,68.9,4,single
FF,fly_ball,-42.16,166.23000000000002,104.1,35,home_run
FT,fly_ball,-78.72,130.65,101.9,27,field_out
SL,fly_ball,15.079999999999998,174.83,104.1,31,home_run
CH,line_drive,-8.920000000000002,116.01,93.8,16,field_out
FF,ground_ball,54.33,84.52000000000001,113.6,8,single
CH,popup,-14.75,88.74000000000001,75,51,field_out
FC,ground_ball,-7.670000000000002,62.420000000000016,106.8,2,field_out
SI,ground_ball,34.61999999999999,36.06,82.9,-21,field_out
FT,fly_ball,12.700000000000003,131,109.4,51,field_out
SI,ground_ball,21.249999999999986,50.55000000000001,64.6,12,force_out
SI,ground_ball,56.269999999999996,79.13000000000001,90.3,-17,single
FC,line_drive,59.3,83.98,78.5,15,single
FC,line_drive,4.179999999999993,17.360000000000014,81.6,7,field_out
CU,fly_ball,1.7600000000000051,101.54,87,50,field_out
SL,line_drive,-44.879999999999995,115.47000000000001,105.1,13,single
CH,fly_ball,-17.28,174.10000000000002,109.2,20,home_run
FT,line_drive,-56.260000000000005,108.25000000000001,82.6,26,field_out
SI,ground_ball,31.440000000000012,30.680000000000007,70.9,-57,field_out
SI,ground_ball,-13.989999999999995,23.409999999999997,37.6,33,field_out
FT,line_drive,-52.75,91.25000000000001,107.9,11,single
FS,line_drive,-44.879999999999995,144.55,106,17,double
SI,ground_ball,-11.570000000000007,48.24000000000001,81,-7,field_out
SI,ground_ball,23.559999999999988,44,96.1,-11,grounded_into_double_play
FF,ground_ball,-21.700000000000003,38.94,95.4,1,force_out
FT,ground_ball,23.510000000000005,102.94000000000001,91.8,10,single
FT,ground_ball,-15.100000000000009,36.400000000000006,81.8,3,field_out
CH,ground_ball,35.19000000000001,33.860000000000014,81.8,-26,field_out
FF,fly_ball,-28.47,161.05,103.4,29,home_run
CH,ground_ball,17.92,48.59,104.2,-3,force_out
FT,line_drive,19.260000000000005,54.91,102.4,10,field_out
FT,ground_ball,-11.540000000000006,44.02000000000001,94.9,-29,field_out
CU,ground_ball,30.11,42.49000000000001,69.1,10,field_out
CH,line_drive,42.980000000000004,115.38000000000001,106.4,10,single
CH,ground_ball,21.989999999999995,33.860000000000014,89.8,-25,field_out
SI,ground_ball,29.10000000000001,45.03,105.3,-15,field_out
FT,line_drive,-50.519999999999996,81.51,81.5,19,single
FF,ground_ball,-21.430000000000007,58.08000000000001,106.9,-3,field_out
FF,line_drive,-20.960000000000008,100.31000000000002,83.9,20,single
CU,fly_ball,-76.41,77.05000000000001,88.8,53,field_out
SL,ground_ball,26.529999999999987,40.79000000000002,78.6,8,field_out
SL,ground_ball,1.0900000000000034,17.170000000000016,82.1,5,field_out
SL,ground_ball,19.260000000000005,22.01000000000002,66.7,-32,field_out
CH,ground_ball,-17.710000000000008,24.80000000000001,66.5,-37,single
CU,line_drive,56.17999999999999,131.4,96.1,19,triple
FT,line_drive,-47.39,116.86000000000001,107,11,double
FT,fly_ball,NA,NA,107.6,26,home_run
SL,ground_ball,27.719999999999985,47.81,100.2,-5,single
FF,line_drive,6.519999999999996,104.14000000000001,86,8,single
CH,ground_ball,28.33999999999999,42.97,71.4,-13,field_out
SI,fly_ball,107.08999999999999,115.05000000000001,110,26,home_run
FF,fly_ball,5.660000000000011,182.70000000000002,107.2,31,home_run
CH,ground_ball,27.13000000000001,46.60000000000002,91.7,5,field_out
SL,ground_ball,30.16000000000001,46,80.8,-27,field_out
SL,ground_ball,29.10000000000001,48.08000000000001,102,5,field_out
SL,ground_ball,27.570000000000007,47.06,94.1,4,field_out
CU,line_drive,-31.85000000000001,173.71,104.7,20,home_run
SI,ground_ball,-4.939999999999998,52.140000000000015,96.4,-6,field_out
FT,ground_ball,2.6199999999999903,14.870000000000005,65,-16,grounded_into_double_play
SI,ground_ball,-0.35999999999999943,48.59,79.2,4,grounded_into_double_play
FF,ground_ball,23.510000000000005,44.02000000000001,105.5,5,grounded_into_double_play
SL,fly_ball,29.249999999999986,175.5,107.7,28,home_run
FF,ground_ball,41.290000000000006,56.21000000000001,82.3,-35,single
SL,fly_ball,-41.019999999999996,76.08000000000001,68.4,38,single
FF,line_drive,-38.2,149.28,108.1,17,double
SL,fly_ball,-25.049999999999997,173.12,109.5,26,home_run
SI,line_drive,-77.82,104.81000000000002,100.3,17,field_out
FT,fly_ball,-74.18,129.86,99.4,30,field_out
FT,line_drive,-39.35000000000001,102.21000000000001,78,25,single
FT,ground_ball,-10.519999999999996,22.680000000000007,104.7,-20,force_out
SL,fly_ball,18.940000000000012,146.63,93.5,27,field_out
KC,fly_ball,-74.12,151.22000000000003,105,28,home_run
FS,ground_ball,18.940000000000012,42.49000000000001,69.2,-36,field_out
FF,ground_ball,21.989999999999995,48.08000000000001,73.9,-12,field_out
FF,line_drive,19.450000000000003,46.56,105.2,9,double_play
CH,ground_ball,13.86,30.810000000000002,102.2,-11,field_out
CH,fly_ball,-33.22,86.51,72.4,37,single
FF,fly_ball,-20.340000000000003,182.18,106.5,28,home_run
SL,popup,28.42,-4.239999999999981,80,69,field_out
FF,ground_ball,-15.269999999999996,32.84,93.9,-5,field_out
FT,ground_ball,3.529999999999987,16.590000000000003,71.4,-34,field_out
SI,line_drive,-9.989999999999995,130.68,110.3,9,single
SL,line_drive,20.83,144.46,107,18,double
FF,ground_ball,2.1700000000000017,58.82000000000002,56.7,22,field_out
FT,fly_ball,-43.730000000000004,138.06,97.3,25,field_out
FF,line_drive,-14.659999999999997,53.870000000000005,84.7,12,field_out
SI,line_drive,-28.710000000000008,87.61000000000001,83.9,16,single
FC,ground_ball,-14.049999999999997,35.09,66.9,-8,single
SI,ground_ball,10.779999999999987,47.21000000000001,82.9,-21,field_out
SI,ground_ball,21.679999999999993,44.79000000000002,69.4,-9,field_out
SI,ground_ball,19.260000000000005,47.81,95.8,-20,field_out
FF,ground_ball,67.7,77.32000000000001,103.1,-7,single
FF,fly_ball,14.959999999999994,151.74,102.5,42,field_out
FF,ground_ball,28.940000000000012,27.05000000000001,82.9,-21,field_out
SL,ground_ball,19.249999999999986,26.439999999999998,74.5,-58,field_error
FT,line_drive,-11.260000000000005,138.99,106.9,14,field_out
FS,ground_ball,29.549999999999997,32.5,102.8,-5,field_out
FF,fly_ball,-89.77000000000001,103.36000000000001,97.9,42,field_out
SL,popup,-57.60000000000001,35.53,80,69,field_out
FT,popup,18.11,15.54000000000002,80,69,field_out
FT,ground_ball,24.17,28.860000000000014,76.5,-1,force_out
FF,fly_ball,5.690000000000012,182.43,108.4,29,home_run
FF,line_drive,3.700000000000003,107.51,99.7,17,field_out
SL,ground_ball,18.940000000000012,45.03,93.8,-21,field_out
FT,ground_ball,25.38000000000001,30.680000000000007,81.6,-12,fielders_choice_out
FT,ground_ball,27.200000000000003,42.19,97.3,-32,field_out
FT,ground_ball,74.30999999999999,92.78000000000002,102.9,-7,single
SL,line_drive,58.05,111.58000000000001,95,11,single
SL,fly_ball,-44.46000000000001,151.61,100.5,33,field_out
SI,line_drive,46.32000000000001,131.85000000000002,112.5,11,double
FF,line_drive,-20.450000000000003,78.05000000000001,72,18,single
CH,fly_ball,25.540000000000006,147.64000000000001,95.6,30,field_out
FT,line_drive,-44.55,135.72000000000003,108.5,16,double
SL,fly_ball,88.71999999999998,116.79,103.8,44,field_out
KC,fly_ball,23.58999999999999,176.21,107.1,21,home_run
FF,ground_ball,22.959999999999994,43.400000000000006,88.9,-23,field_out
FF,ground_ball,34.709999999999994,53.79000000000002,107.8,-15,single
SL,line_drive,70.19000000000001,149.10000000000002,109.5,17,home_run
SL,ground_ball,-34.75,126.79,102,3,double
FC,ground_ball,10.719999999999985,36.35000000000002,41.3,29,field_out
SI,ground_ball,19.89999999999999,50.630000000000024,106.1,-23,grounded_into_double_play
CU,fly_ball,-65.41,129.56,94.9,35,field_out
SI,line_drive,-64.21000000000001,93.72000000000001,93.2,18,field_out
SL,ground_ball,14.89,116.95000000000002,107.4,5,single
SL,ground_ball,30.08,47.08000000000001,90.5,-17,single
SL,ground_ball,21.36999999999999,20.210000000000008,82.9,-21,field_out
SL,ground_ball,27.269999999999996,35.420000000000016,82.9,-21,field_out
SL,ground_ball,33.17999999999999,32.380000000000024,56.8,-30,field_out
CH,ground_ball,-6.010000000000005,59.76000000000002,101.5,4,field_out
FF,line_drive,17.809999999999988,134.46,111,11,double
CH,ground_ball,-9.060000000000002,17.610000000000014,90.3,-17,single
FF,ground_ball,15.769999999999996,36.99000000000001,90.3,-17,single
SI,ground_ball,-17.019999999999996,47.640000000000015,77.9,1,field_out
SL,line_drive,-58.81,159.08,101.8,28,home_run
FF,line_drive,43.999999999999986,83.20000000000002,72.6,23,single
CH,ground_ball,21.749999999999986,49.46000000000001,91.3,-23,field_out
CU,line_drive,32.14999999999999,115.56000000000002,108,14,double
FC,ground_ball,9.999999999999986,39.97,87.6,-10,field_out
FT,line_drive,-34.18000000000001,134.71,110.6,10,double
FT,ground_ball,-47.91,49.46000000000001,98.8,-4,double
FC,ground_ball,30.83,28.860000000000014,98.3,-16,single
CU,fly_ball,-1.3700000000000045,174.41000000000003,107.1,22,home_run
CH,ground_ball,22.959999999999994,45.22,97,-6,field_out
KC,line_drive,43.83999999999999,89.09,83.6,17,single
FF,ground_ball,33.67,102.94000000000001,111.7,-7,single
FT,ground_ball,27.570000000000007,46.56,85.2,-21,field_out
SL,ground_ball,56.019999999999996,81.61000000000001,77.1,-2,single
SI,ground_ball,17.41000000000001,41.99000000000001,66.7,-44,field_out
FF,fly_ball,67.7,159.83,106.3,32,home_run
KC,ground_ball,21.480000000000004,58.24000000000001,77.2,3,single
SI,ground_ball,102.91000000000001,98.52000000000001,94.3,-12,triple
FT,ground_ball,34.459999999999994,35.53,85.3,-21,field_out
FT,ground_ball,-7.930000000000007,48.24000000000001,107.4,-9,grounded_into_double_play
KC,ground_ball,25.38000000000001,43.400000000000006,88.1,-19,field_out
KC,ground_ball,-15.200000000000003,14.930000000000007,90.3,-17,single
FT,line_drive,-4.570000000000007,88.83000000000001,91.2,10,single
SL,ground_ball,0.5499999999999972,-5.1299999999999955,48.9,-73,field_out
FF,fly_ball,10.86999999999999,166.63,105.5,25,home_run
SL,ground_ball,61.11,85.19000000000001,89.2,3,single
FC,ground_ball,102.3,98.52000000000001,96.4,3,triple
CU,line_drive,89.58,98.52000000000001,103.7,12,double
FF,line_drive,-95.75,90.86000000000001,95.1,22,field_out
FF,line_drive,19.260000000000005,152.34,104.7,16,double
FC,line_drive,-15.200000000000003,91.25000000000001,77.8,16,single
