pitch_type,batted_ball_type,hit_x,hit_y,exit_velocity,launch_angle,outcome
SI,ground_ball,52.63000000000001,93.06000000000002,100.9,-13,single
CH,line_drive,23.559999999999988,109.39000000000001,102.5,11,double
FF,ground_ball,17.510000000000005,51.27000000000001,101.3,-17,field_out
FF,line_drive,-1.269999999999996,108.81000000000002,82.6,16,single
CH,ground_ball,69.58999999999999,96.70000000000002,102.1,-9,single
CU,line_drive,-30.370000000000005,121.64000000000001,79.2,27,field_out
SI,ground_ball,4.309999999999988,15.75,101.2,-10,field_out
FF,ground_ball,22.959999999999994,33.71000000000001,78.1,1,field_out
FF,ground_ball,91.52999999999999,86.62,88.2,-5,double
SL,line_drive,-78.71000000000001,124.82000000000001,96.3,24,field_out
FF,ground_ball,32.040000000000006,35.53,85.8,-30,field_out
CU,ground_ball,50.209999999999994,80.95000000000002,101.2,-12,single
FT,line_drive,-18.83,32.5,93.8,7,field_out
FF,ground_ball,21.64999999999999,48.08000000000001,89.7,-13,force_out
FF,ground_ball,-9.850000000000009,45.03,76.1,-5,force_out
FT,line_drive,-5.3500000000000085,86.56000000000002,110.9,9,single
SI,ground_ball,-93.66,95.32000000000001,91.2,2,double
FF,ground_ball,14.999999999999986,51.640000000000015,97,-11,field_out
CH,line_drive,-12.39,99.38000000000001,84.3,14,single
FT,line_drive,-100.65,109.49000000000001,102.4,21,double
SI,ground_ball,-31.939999999999998,112.66000000000001,101.7,2,single
FF,ground_ball,17.730000000000004,47.85000000000002,91.9,-24,force_out
CH,ground_ball,-6.5,49.670000000000016,92,2,force_out
FT,ground_ball,-28.310000000000002,99.94000000000001,94.2,-2,single
SL,ground_ball,28.08,46.56,97.6,6,force_out
CH,ground_ball,58.55999999999999,93.29,89.6,5,single
FF,ground_ball,7.760000000000005,111.58000000000001,107.5,-5,single
FT,ground_ball,-13.060000000000002,28.27000000000001,107.8,-21,field_out
FS,ground_ball,-27.340000000000003,32.49000000000001,53.9,-28,field_out
FF,ground_ball,0.6499999999999915,16.590000000000003,88.2,-35,field_out
SL,ground_ball,-15.200000000000003,47.03,93.9,-3,field_out
FF,ground_ball,18.11,48.85000000000002,67.4,2,field_out
FT,line_drive,84.74,108.21000000000001,111.9,5,double
CU,fly_ball,63.30999999999999,121.14000000000001,96.9,43,field_out
SI,ground_ball,-2.480000000000004,9.480000000000018,40,-36,single
FT,fly_ball,-29.980000000000004,108.31000000000002,94.6,52,field_out
FF,fly_ball,62.33,132.83,101.6,42,double_play
FT,ground_ball,30.219999999999985,43.400000000000006,100.8,5,field_out
FT,ground_ball,32.42999999999999,28.439999999999998,87.3,-22,field_out
SI,ground_ball,1.7600000000000051,19.170000000000016,106,-11,force_out
FF,line_drive,-69.6,139.66000000000003,104.1,20,field_out
SL,line_drive,94.42999999999999,106.39000000000001,104.5,16,double
SL,ground_ball,12.049999999999997,50.06,98.8,4,field_out
FF,ground_ball,28.41000000000001,117.29,107,0,single
CH,ground_ball,16.89999999999999,49.46000000000001,96.3,-19,field_out
SI,fly_ball,-86.68,135.93,103.7,27,home_run
FF,fly_ball,-60.71000000000001,139.69,98.5,34,field_out
CH,fly_ball,-79.71000000000001,153.88,108.9,23,home_run
SL,ground_ball,-14.590000000000003,39.16,77.7,-19,field_out
CU,ground_ball,0.28000000000000114,-5.030000000000001,54.7,-78,force_out
FF,popup,-27.310000000000002,77.32000000000001,70.6,48,field_out
CH,ground_ball,25.989999999999995,45.82000000000002,96.2,-34,field_error
FC,ground_ball,4.179999999999993,16.75,94.6,-10,field_out
FC,line_drive,30.11999999999999,87.50000000000001,76.1,17,single
SL,line_drive,8.499999999999986,76.02000000000001,75.2,18,single
SL,line_drive,-37.61,117.9,105.3,16,field_out
CU,line_drive,78.67999999999999,80.35000000000001,100.6,12,single
FF,ground_ball,-3.0900000000000034,19.170000000000016,79,-30,field_out
FT,line_drive,6.6000000000000085,153.63,102.5,22,field_out
FF,line_drive,-44.879999999999995,108.21000000000001,108.4,16,sac_fly
FT,ground_ball,-13.379999999999995,47.03,105.7,-17,field_out
KC,ground_ball,45.36999999999999,105.78000000000002,100.7,6,single
SL,fly_ball,112.60000000000001,115.47000000000001,97.3,40,home_run
SL,ground_ball,21.14,34.920000000000016,100.6,-8,field_out
SI,ground_ball,21.749999999999986,43.400000000000006,98.1,-22,force_out
FF,fly_ball,-78.59,107.01,98.3,35,field_out
FC,ground_ball,25.029999999999987,47.06,104.2,-15,grounded_into_double_play
SI,ground_ball,24.019999999999996,48.08000000000001,76.8,-31,field_out
CH,ground_ball,5.219999999999985,15.570000000000022,70.2,-19,field_out
FT,line_drive,-0.8700000000000045,107.51,112.7,4,single
SL,ground_ball,0.4399999999999977,48.18000000000001,99,-26,grounded_into_double_play
FF,line_drive,-85.5,91.89000000000001,98.8,19,double
CU,ground_ball,21.480000000000004,48.59,97.2,-4,field_out
SI,ground_ball,-15.100000000000009,32.84,105.6,-13,grounded_into_double_play
FC,ground_ball,35.86999999999999,50.620000000000005,105.2,-5,field_out
FF,ground_ball,3.8699999999999903,60.27000000000001,104.7,-5,single
FT,ground_ball,24.700000000000003,47.06,85.3,-23,field_out
FF,line_drive,1.1599999999999966,111.50000000000001,95.6,11,single
SL,line_drive,-1.9300000000000068,114.20000000000002,91.8,13,single
CH,ground_ball,-14.650000000000006,37.880000000000024,96.2,-22,field_out
SI,line_drive,-44.730000000000004,96.74000000000001,95.4,9,single
FT,fly_ball,-0.5,184.14000000000001,109.5,22,home_run
FT,ground_ball,63.980000000000004,90.75000000000001,81.4,7,single
FT,ground_ball,24.36,48.08000000000001,99,-5,field_out
FT,line_drive,-18.650000000000006,114.12,100.2,11,single
FF,fly_ball,-41.260000000000005,160.43,107.8,21,double
FT,ground_ball,30.230000000000004,34.44,82.5,9,field_out
SI,ground_ball,-18.650000000000006,32.84,99.3,-31,field_out
CH,line_drive,15.89,50.110000000000014,96.4,8,field_out
SI,line_drive,-40.11,90.42000000000002,94.3,7,single
CU,ground_ball,25.38000000000001,25.230000000000018,47.8,-39,field_out
SL,ground_ball,-13.379999999999995,24.02000000000001,68.6,-35,field_error
CH,ground_ball,24.769999999999996,27.650000000000006,82.9,-21,field_out
FT,ground_ball,-8.540000000000006,50.670000000000016,106.5,2,field_out
KC,line_drive,32.27999999999999,116.10000000000001,82.7,26,field_out
CH,line_drive,-27.35000000000001,98.30000000000001,75.8,23,single
CU,popup,-18.83,72.47000000000001,73.8,56,field_out
SI,ground_ball,-10.960000000000008,42.19,98.6,-26,force_out
FF,fly_ball,-31.790000000000006,153.44,94.8,29,field_out
FF,fly_ball,13.86999999999999,183.91000000000003,110.9,26,home_run
CU,ground_ball,-9.14,55.51000000000002,106.6,-1,force_out
FT,ground_ball,-8.540000000000006,50.670000000000016,105.6,-23,field_out
CH,ground_ball,59.3,91.25000000000001,104.1,3,single
CH,ground_ball,30.219999999999985,30.680000000000007,82.3,-17,field_out
CU,ground_ball,30.219999999999985,38.55000000000001,89.6,-12,field_error
KC,ground_ball,41.8,62.81,94.6,-23,single
FF,ground_ball,24.019999999999996,47.06,86.6,-34,force_out
CH,fly_ball,70.35000000000001,153.09,106.2,22,home_run
CH,ground_ball,31.13000000000001,39.95000000000002,88,-2,force_out
CU,line_drive,41.249999999999986,99.50000000000001,87.4,17,single
FF,ground_ball,-14.590000000000003,28.78,69.9,-52,single
FS,line_drive,62.61999999999999,93.80000000000001,112.9,11,single
CH,ground_ball,-9,54.18000000000001,77.5,2,field_out
SL,ground_ball,21.480000000000004,54.18000000000001,93.4,-23,single
FC,line_drive,-44.91,136.93,97.7,21,double
FS,line_drive,89.04,88.72000000000001,93.2,13,triple
FT,line_drive,9.790000000000006,123.26,82.1,24,field_out
CU,line_drive,65.63000000000001,90.29,85.8,24,single
CH,ground_ball,19.929999999999993,48.24000000000001,100,-6,field_out
FF,ground_ball,10.239999999999995,102.15,109.7,-6,single
SI,line_drive,-80.12,93.92000000000002,102.8,16,field_out
CU,ground_ball,-17.64,54.18000000000001,101.9,-1,single
SI,ground_ball,-9.510000000000005,34.370000000000005,74.1,-24,field_out
CH,ground_ball,9.790000000000006,12.52000000000001,82.9,-21,field_out
SI,ground_ball,26.049999999999997,45.03,93.8,-5,grounded_into_double_play
FC,line_drive,74.33999999999999,136.15,113.6,20,double
SL,ground_ball,-11.540000000000006,50.110000000000014,95.8,-13,field_out
CH,line_drive,2.8699999999999903,153.95000000000002,103.3,18,field_out
CU,fly_ball,-53.14,144.19,100,35,field_out
SI,ground_ball,1.6700000000000017,18.620000000000005,105.6,-22,field_out
CU,line_drive,58.27999999999999,78.73,99.8,10,single
CH,fly_ball,-68.28,94.47000000000001,83.7,31,field_out
FF,popup,-34.5,6.710000000000008,80,69,field_out
FF,line_drive,17.459999999999994,115.34,78.7,27,field_out
FF,fly_ball,-70.07,157.93,108.5,28,home_run
FT,ground_ball,16.299999999999997,18.22,82.9,-21,field_out
SL,fly_ball,-42.010000000000005,136.61,93.5,32,field_out
SL,fly_ball,20.540000000000006,142.99,96.6,32,field_out
FF,ground_ball,-35.18000000000001,80.60000000000001,95.9,-4,single
CH,line_drive,-14.210000000000008,115.07000000000001,77.9,29,field_out
SL,popup,-18.22,3.680000000000007,80,69,field_out
FF,line_drive,-44.16,71.17000000000002,78,17,single
SL,fly_ball,17.299999999999997,105.38000000000001,89.2,39,field_out
CH,ground_ball,27.440000000000012,30.350000000000023,72.8,-13,field_out
FC,line_drive,69.52,151.88,112.4,19,home_run
FC,ground_ball,4.11999999999999,2.980000000000018,82.9,-21,field_out
CH,ground_ball,-4.060000000000002,58.76000000000002,88.8,-9,field_out
FF,fly_ball,-44.83,154.37,102.1,23,double
FF,ground_ball,3.1099999999999994,60.26000000000002,104.6,-19,single
FF,line_drive,-43.03,86.12,79.1,14,single
FF,line_drive,-39.17,78.66000000000001,87.7,9,single
FF,line_drive,-97.13,115.82000000000001,101.8,22,double
SL,fly_ball,-72.78,103.97000000000001,90.9,38,field_out
FF,ground_ball,-18.260000000000005,40.98000000000002,98.5,-5,field_out
FF,ground_ball,-5.549999999999997,56.120000000000005,81.3,7,field_out
SI,ground_ball,35.02999999999999,39.16,92.8,-28,field_out
FC,popup,-11.600000000000009,80.95000000000002,80,69,field_out
CH,ground_ball,-5.549999999999997,55.51000000000002,106.5,-7,field_out
FF,ground_ball,57.44000000000001,74.89000000000001,95.1,-13,single
FF,ground_ball,-17.049999999999997,54.30000000000001,92.3,-8,single
FF,line_drive,-27.150000000000006,127.51,83.5,26,field_out
FF,ground_ball,24.769999999999996,48.24000000000001,91.3,-23,field_out
FT,ground_ball,17.510000000000005,100.33000000000001,109.2,6,single
SI,ground_ball,18.719999999999985,111.84,111,-2,single
FC,line_drive,-43.45,112.33000000000001,105.7,11,field_out
SI,ground_ball,55.05999999999999,80.35000000000001,101,-17,single
FC,fly_ball,-52.739999999999995,80.11000000000001,74.8,26,single
CH,line_drive,-22.230000000000004,134.02,88.8,22,field_out
SI,ground_ball,4.719999999999985,16.590000000000003,100,-12,field_out
FF,line_drive,-40.17,118.02000000000001,95.9,15,single
FT,ground_ball,29.61,32.33000000000001,81.7,-22,field_out
FF,line_drive,-9,93.80000000000001,78.1,14,single
FF,ground_ball,-9.510000000000005,34.370000000000005,67.9,-24,field_out
SL,line_drive,-71.53,70.05000000000001,70.2,28,double
FF,ground_ball,33.13000000000001,31.670000000000016,57.9,6,field_out
CH,ground_ball,-7.329999999999998,14.330000000000013,82.9,-21,field_out
SL,popup,30.83,61.57000000000002,82.1,57,field_out
CH,fly_ball,102.3,126.98,98.3,28,home_run
FT,line_drive,-24.290000000000006,153.63,107,17,double
CH,ground_ball,25.38000000000001,38.55000000000001,81,1,field_out
FF,line_drive,-54.71000000000001,120.16000000000001,103.4,15,field_out
FF,ground_ball,13.600000000000009,54.32000000000002,101.8,-4,field_out
FS,line_drive,45.39,54.05000000000001,76,15,single
CH,fly_ball,26.929999999999993,127.00000000000001,89.4,24,field_out
FT,line_drive,0.8499999999999943,79.53000000000002,101.2,10,single
FF,ground_ball,62.05999999999999,66.43,88.1,7,single
SL,popup,-6.140000000000001,71.31000000000002,70.9,54,field_out
FF,ground_ball,-12.840000000000003,49.630000000000024,109.6,1,field_out
FT,ground_ball,33.19000000000001,27.830000000000013,82.9,-21,field_out
CU,line_drive,48.89999999999999,78.01,89.6,15,single
FT,line_drive,-54.64,104.14000000000001,100,19,field_out
FF,ground_ball,-12.239999999999995,47.21000000000001,105.6,-20,field_out
SI,ground_ball,31.980000000000004,34.49000000000001,82.9,-21,field_out
SL,fly_ball,99.21,99.30000000000001,107.5,38,sac_fly
CH,ground_ball,11.989999999999995,11.469999999999999,82.9,-21,field_out
FF,ground_ball,13.320000000000007,52.05000000000001,106.8,-13,grounded_into_double_play
SI,ground_ball,23.61,47.21000000000001,76.6,-18,field_out
CH,ground_ball,9.079999999999998,14.5,82.9,-21,field_out
SI,ground_ball,51.45,74.50000000000001,107.8,-5,single
FT,fly_ball,-75.7,124.80000000000001,99.5,40,field_out
FT,ground_ball,18.940000000000012,46.05000000000001,109.1,-10,grounded_into_double_play
FF,ground_ball,-7.480000000000004,42.49000000000001,90.3,-17,single
FF,line_drive,55.510000000000005,105.48,78.1,24,field_out
CH,ground_ball,1.5300000000000011,-4.099999999999994,64.5,-26,field_out
FF,fly_ball,-39.69,156.47000000000003,104.8,35,field_out
FF,line_drive,-23.700000000000003,173.01000000000002,111.3,20,home_run
FF,ground_ball,26.049999999999997,47.06,104.1,1,field_out
CH,fly_ball,40.89,144.70000000000002,97.2,27,field_out
FT,ground_ball,-13.570000000000007,49.10000000000002,103.9,-2,field_out
FF,ground_ball,31.13000000000001,40.46000000000001,96.9,-16,field_out
CH,line_drive,69.91000000000001,139.57,97.4,23,triple
FF,line_drive,-31.89,64.86000000000001,88.2,9,single
CU,ground_ball,27.570000000000007,33.860000000000014,93.7,-10,field_out
CU,ground_ball,30.11,35.890000000000015,67.2,-36,field_out
CU,ground_ball,21.989999999999995,44.02000000000001,98.3,-6,field_error
FF,line_drive,-47.42,80.05000000000001,103.3,9,single
FF,ground_ball,-9.510000000000005,55.19,99.8,5,field_out
FT,ground_ball,5.219999999999985,16.590000000000003,94.4,-31,grounded_into_double_play
SL,fly_ball,38.32000000000001,171.19,103.4,27,home_run
SL,line_drive,29.61,139.52,110.3,16,double
FF,ground_ball,0.6499999999999915,55.19,108.4,5,single
FF,line_drive,-6.460000000000008,54.18000000000001,106.2,5,field_out
FF,fly_ball,12.66000000000001,123.95000000000002,94.7,19,field_out
CU,fly_ball,-17.310000000000002,117.88000000000001,81.3,36,field_out
CU,ground_ball,6.3500000000000085,106.41000000000001,100.8,-9,single
CH,ground_ball,45.11,94.9,105.9,0,single
FT,line_drive,-28.790000000000006,153.04000000000002,106.4,13,double
FF,line_drive,-4.3799999999999955,67.98000000000002,91.1,10,single
SL,ground_ball,2.700000000000003,107.01,104.1,-11,single
SL,ground_ball,30.11,32.33000000000001,82.9,-21,fielders_choice_out
SI,line_drive,-48.46000000000001,74.92000000000002,102.6,10,single
SI,ground_ball,18.940000000000012,32.84,96.6,-35,field_out
CH,line_drive,-11.540000000000006,54.18000000000001,99.9,10,field_out
FF,fly_ball,6.739999999999995,109.43,98.5,43,field_out
SL,ground_ball,-11.430000000000007,48.860000000000014,67.8,-17,field_out
SL,line_drive,-40.67,88.41000000000001,76.9,25,single
